Thickness,SiteNum,Episode
14.6,6,Rowallan
9.6,6,Rowallan
11.5,6,Rowallan
7.8,6,Rowallan
13.8,6,Rowallan
10.5,6,Rowallan
0.6,7,Arm
1,7,Arm
1,7,Arm
1.4,7,Arm
2,7,Arm
0.8,7,Arm
1.3,7,Arm
0.7,7,Arm
1.1,7,Arm
1.1,7,Arm
1.6,7,Arm
1.9,7,Arm
1.1,7,Arm
0.5,7,Arm
1.1,7,Arm
2,7,Arm
0.5,7,Arm
1,7,Arm
1,7,Arm
0.8,7,Arm
0.8,7,Arm
1,7,Arm
0.5,7,Arm
1.1,7,Arm
2,7,Arm
0.5,7,Arm
1,7,Arm
1,7,Arm
0.8,7,Arm
0.8,7,Arm
1.1,7,Arm
1.2,7,Arm
1.2,7,Arm
0.5,7,Arm
1.1,7,Arm
0.9,7,Arm
1.5,7,Arm
2.1,7,Arm
0.5,7,Arm
2,7,Arm
1.1,7,Arm
2.2,7,Arm
1.1,7,Arm
2,7,Arm
0.5,7,Arm
0.5,7,Arm
1,7,Arm
1,7,Arm
1.1,7,Arm
1,7,Arm
0.5,8,Croesus
0.5,8,Croesus
0.5,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.2,8,Croesus
0.3,8,Croesus
0.5,8,Croesus
0.5,8,Croesus
0.5,8,Croesus
0.3,8,Croesus
0.2,8,Croesus
0.6,8,Croesus
0.5,8,Croesus
0.6,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.5,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.7,8,Croesus
0.2,8,Croesus
0.3,8,Croesus
0.5,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.2,8,Croesus
0.5,8,Croesus
0.3,8,Croesus
0.2,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.5,8,Croesus
0.7,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.3,8,Croesus
0.5,8,Croesus
0.7,8,Croesus
0.8,8,Croesus
0.9,8,Croesus
0.7,8,Croesus
0.3,8,Croesus
0.2,8,Croesus
0.3,8,Croesus
2,9,Arm
1.2,9,Arm
1.6,9,Arm
1.5,9,Arm
1.6,9,Arm
1.8,9,Arm
1.9,9,Arm
1.5,9,Arm
0.9,9,Arm
1.6,9,Arm
1,9,Arm
1.8,9,Arm
1.1,9,Arm
1.7,9,Arm
1.9,9,Arm
1.9,9,Arm
2,9,Arm
2,9,Arm
1.3,9,Arm
2,9,Arm
1.1,9,Arm
1.3,9,Arm
1.1,9,Arm
1.5,9,Arm
2,9,Arm
1.2,9,Arm
0.9,9,Arm
1.3,9,Arm
1.1,9,Arm
2.4,9,Arm
1.3,9,Arm
1.1,9,Arm
2.2,9,Arm
1.4,9,Arm
1.8,9,Arm
1.1,9,Arm
0.8,9,Arm
1.7,9,Arm
1,9,Arm
1.2,9,Arm
1.7,9,Arm
2,9,Arm
0.7,9,Arm
2,9,Arm
1.4,9,Arm
2,9,Arm
1.5,9,Arm
0.8,9,Arm
1.3,9,Arm
1.5,9,Arm
0.2,11,Croesus
2.1,11,Croesus
0.3,11,Croesus
0.4,11,Croesus
0.2,11,Croesus
0.3,11,Croesus
0.5,11,Croesus
0.4,11,Croesus
0.5,11,Croesus
0.8,11,Croesus
0.3,11,Croesus
0.5,11,Croesus
0.6,11,Croesus
0.5,11,Croesus
0.4,11,Croesus
0.4,11,Croesus
1.1,11,Croesus
0.2,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
0.4,11,Croesus
0.3,11,Croesus
0.4,11,Croesus
0.3,11,Croesus
0.4,11,Croesus
0.2,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
1.2,11,Croesus
2.2,11,Croesus
0.3,11,Croesus
2.2,11,Croesus
0.3,11,Croesus
0.2,11,Croesus
0.4,11,Croesus
0.4,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
3,11,Croesus
1,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
0.6,11,Croesus
0.4,11,Croesus
0.3,11,Croesus
0.3,11,Croesus
0.4,11,Croesus
0.3,11,Croesus
0.6,11,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.5,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.4,12,Croesus
0.2,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.2,12,Croesus
0.1,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.4,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.2,12,Croesus
0.1,12,Croesus
0.1,12,Croesus
0.3,12,Croesus
0.2,12,Croesus
0.1,13,Croesus
0.2,13,Croesus
0.4,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.5,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.1,13,Croesus
0.1,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.5,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.1,13,Croesus
0.3,13,Croesus
0.1,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.2,13,Croesus
0.1,13,Croesus
0.3,13,Croesus
0.2,13,Croesus
0.3,13,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.1,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.4,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.3,14,Croesus
0.4,14,Croesus
0.2,14,Croesus
0.4,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.4,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.1,14,Croesus
0.4,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.2,14,Croesus
0.3,14,Croesus
0.3,14,Croesus
2,15,Arm
7.1,15,Arm
3.2,15,Arm
2.2,15,Arm
5.3,15,Arm
3.4,15,Arm
4.2,15,Arm
5.5,15,Arm
4.2,15,Arm
1.5,15,Arm
4.3,15,Arm
2,15,Arm
2.6,15,Arm
3.4,15,Arm
2.3,15,Arm
3.4,15,Arm
2.8,15,Arm
2.2,15,Arm
2.8,15,Arm
7.2,15,Arm
3.3,15,Arm
2.5,15,Arm
1.2,15,Arm
4.5,15,Arm
1.3,15,Arm
3,15,Arm
5.2,15,Arm
2,15,Arm
1,15,Arm
1.1,15,Arm
2.3,15,Arm
0.9,15,Arm
3.2,15,Arm
5.2,15,Arm
3,15,Arm
1.8,15,Arm
